CNTCT_ID|CLM_NBR|ROLE_CD|FST_NM|LST_NM|ORG_NM|EMAIL|PHONE|DOB|ADDR1|CITY|STATE|ZIP
CNT00001|CLM000001|I|First1|Last1||e1@x.com|6145550001|19850615|1 Ave|City|OH|43215
CNT00002|CLM000002|C|First2|Last2||e2@x.com|6145550002|19850615|2 Ave|City|OH|43215
CNT00003|CLM000003|W|First3|Last3||e3@x.com|6145550003|19850615|3 Ave|City|OH|43215
CNT00004|CLM000004|A|First4|Last4||e4@x.com|6145550004|19850615|4 Ave|City|OH|43215
CNT00005|CLM000005|J|First5|Last5||e5@x.com|6145550005|19850615|5 Ave|City|OH|43215
CNT00006|CLM000006|V|First6|Last6||e6@x.com|6145550006|19850615|6 Ave|City|OH|43215
CNT00007|CLM000007|I|First7|Last7||e7@x.com|6145550007|19850615|7 Ave|City|OH|43215
CNT00008|CLM000008|C|First8|Last8||e8@x.com|6145550008|19850615|8 Ave|City|OH|43215
CNT00009|CLM000009|W|First9|Last9||e9@x.com|6145550009|19850615|9 Ave|City|OH|43215
CNT00010|CLM000010|A|First10|Last10||e10@x.com|6145550010|19850615|10 Ave|City|OH|43215
CNT00011|CLM000011|J|First11|Last11||e11@x.com|6145550011|19850615|11 Ave|City|OH|43215
CNT00012|CLM000012|V|First12|Last12||e12@x.com|6145550012|19850615|12 Ave|City|OH|43215
CNT00013|CLM000013|I|First13|Last13||e13@x.com|6145550013|19850615|13 Ave|City|OH|43215
CNT00014|CLM000014|C|First14|Last14||e14@x.com|6145550014|19850615|14 Ave|City|OH|43215
CNT00015|CLM000015|W|First15|Last15||e15@x.com|6145550015|19850615|15 Ave|City|OH|43215
CNT00016|CLM000016|A|First16|Last16||e16@x.com|6145550016|19850615|16 Ave|City|OH|43215
CNT00017|CLM000017|J|First17|Last17||e17@x.com|6145550017|19850615|17 Ave|City|OH|43215
CNT00018|CLM000018|V|First18|Last18||e18@x.com|6145550018|19850615|18 Ave|City|OH|43215
CNT00019|CLM000019|I|First19|Last19||e19@x.com|6145550019|19850615|19 Ave|City|OH|43215
CNT00020|CLM000020|C|First20|Last20||e20@x.com|6145550020|19850615|20 Ave|City|OH|43215
CNT00021|CLM000001|W|First21|Last21||e21@x.com|6145550021|19850615|21 Ave|City|OH|43215
CNT00022|CLM000002|A|First22|Last22||e22@x.com|6145550022|19850615|22 Ave|City|OH|43215
CNT00023|CLM000003|J|First23|Last23||e23@x.com|6145550023|19850615|23 Ave|City|OH|43215
CNT00024|CLM000004|V|First24|Last24||e24@x.com|6145550024|19850615|24 Ave|City|OH|43215
CNT00025|CLM000005|I|First25|Last25||e25@x.com|6145550025|19850615|25 Ave|City|OH|43215
CNT00026|CLM000006|C|First26|Last26||e26@x.com|6145550026|19850615|26 Ave|City|OH|43215
CNT00027|CLM000007|W|First27|Last27||e27@x.com|6145550027|19850615|27 Ave|City|OH|43215
CNT00028|CLM000008|A|First28|Last28||e28@x.com|6145550028|19850615|28 Ave|City|OH|43215
CNT00029|CLM000009|J|First29|Last29||e29@x.com|6145550029|19850615|29 Ave|City|OH|43215
CNT00030|CLM000010|V|First30|Last30||e30@x.com|6145550030|19850615|30 Ave|City|OH|43215
CNT00031|CLM000011|I|First31|Last31||e31@x.com|6145550031|19850615|31 Ave|City|OH|43215
CNT00032|CLM000012|C|First32|Last32||e32@x.com|6145550032|19850615|32 Ave|City|OH|43215
CNT00033|CLM000013|W|First33|Last33||e33@x.com|6145550033|19850615|33 Ave|City|OH|43215
CNT00034|CLM000014|A|First34|Last34||e34@x.com|6145550034|19850615|34 Ave|City|OH|43215
CNT00035|CLM000015|J|First35|Last35||e35@x.com|6145550035|19850615|35 Ave|City|OH|43215
CNT00036|CLM000016|V|First36|Last36||e36@x.com|6145550036|19850615|36 Ave|City|OH|43215
CNT00037|CLM000017|I|First37|Last37||e37@x.com|6145550037|19850615|37 Ave|City|OH|43215
CNT00038|CLM000018|C|First38|Last38||e38@x.com|6145550038|19850615|38 Ave|City|OH|43215
CNT00039|CLM000019|W|First39|Last39||e39@x.com|6145550039|19850615|39 Ave|City|OH|43215
CNT00040|CLM000020|A|First40|Last40||e40@x.com|6145550040|19850615|40 Ave|City|OH|43215
